id;avg_net_income;unemployment_count;unemployment_percentage;population;dateID;districtID;sexID
0;25463;433;0.03532;17630;0;0;0
1;31961;232;0.03803;17630;0;0;1
2;18536;201;0.03264;17630;0;0;2
3;16439;4784;0.07698;89016;0;1;0
4;18301;2933;0.09267;89016;0;1;1
5;14282;1851;0.0607;89016;0;1;2
6;18701;3957;0.06825;82227;0;2;0
7;21444;2403;0.08354;82227;0;2;1
8;15804;1554;0.0532;82227;0;2;2
9;20325;1140;0.05568;28975;0;3;0
10;23641;668;0.06657;28975;0;3;1
11;16876;472;0.04521;28975;0;3;2
12;16258;2881;0.08015;49785;0;4;0
13;17937;1734;0.09556;49785;0;4;1
14;14395;1147;0.06445;49785;0;4;2
15;18724;1398;0.0654;28525;0;5;0
16;21260;871;0.08133;28525;0;5;1
17;16069;527;0.04941;28525;0;5;2
18;18429;1232;0.05686;28912;0;6;0
19;21129;706;0.06589;28912;0;6;1
20;15725;526;0.04803;28912;0;6;2
21;20108;892;0.05326;22219;0;7;0
22;23342;529;0.06384;22219;0;7;1
23;16931;363;0.0429;22219;0;7;2
24;19106;1473;0.053;38290;0;8;0
25;22183;904;0.06617;38290;0;8;1
26;16031;569;0.04027;38290;0;8;2
27;16707;8593;0.0805;152796;0;9;0
28;18657;5293;0.09927;152796;0;9;1
29;14478;3300;0.06176;152796;0;9;2
30;16742;4265;0.07563;78785;0;10;0
31;18883;2474;0.08869;78785;0;10;1
32;14296;1792;0.06289;78785;0;10;2
33;16950;4283;0.07808;78971;0;11;0
34;18884;2575;0.09511;78971;0;11;1
35;14794;1708;0.06147;78971;0;11;2
36;23914;1273;0.03928;50341;0;12;0
37;29951;707;0.04679;50341;0;12;1
38;17877;565;0.03267;50341;0;12;2
39;19511;3299;0.06001;79142;0;13;0
40;22571;1999;0.07477;79142;0;13;1
41;16300;1301;0.04607;79142;0;13;2
42;14999;3888;0.08006;67482;0;14;0
43;16355;2486;0.09931;67482;0;14;1
44;13439;1403;0.05962;67482;0;14;2
45;16330;4996;0.08019;87914;0;15;0
46;18004;3197;0.10242;87914;0;15;1
47;14465;1800;0.05791;87914;0;15;2
48;17604;2513;0.07298;48827;0;16;0
49;20022;1534;0.08952;48827;0;16;1
50;14960;979;0.0566;48827;0;16;2
51;20413;1739;0.0559;45505;0;17;0
52;24325;1008;0.06808;45505;0;17;1
53;16466;731;0.04484;45505;0;17;2
54;22469;2169;0.05033;65327;0;18;0
55;27605;1235;0.06095;65327;0;18;1
56;17113;934;0.0409;65327;0;18;2
57;15696;4566;0.08355;76837;0;19;0
58;17143;2892;0.10375;76837;0;19;1
59;13986;1675;0.06256;76837;0;19;2
60;17977;6460;0.07157;129726;0;20;0
61;20611;3760;0.08586;129726;0;20;1
62;15081;2699;0.05808;129726;0;20;2
63;18915;5663;0.05779;138100;0;21;0
64;22016;3110;0.06574;138100;0;21;1
65;15577;2553;0.05037;138100;0;21;2
66;20799;2999;0.05007;85791;0;22;0
67;24849;1718;0.06005;85791;0;22;1
68;16511;1281;0.04093;85791;0;22;2
69;26571;451;0.03682;17541;1;0;0
70;33764;242;0.03989;17541;1;0;1
71;18907;209;0.0338;17541;1;0;2
72;16549;5073;0.08032;89954;1;1;0
73;18296;3119;0.09718;89954;1;1;1
74;14478;1954;0.06291;89954;1;1;2
75;18940;4216;0.07204;82297;1;2;0
76;21523;2583;0.08938;82297;1;2;1
77;16150;1633;0.05513;82297;1;2;2
78;20730;1163;0.05593;29348;1;3;0
79;24031;687;0.06728;29348;1;3;1
80;17256;476;0.04498;29348;1;3;2
81;16402;3031;0.08253;50367;1;4;0
82;17976;1836;0.09896;50367;1;4;1
83;14633;1195;0.06576;50367;1;4;2
84;19059;1479;0.06853;28805;1;5;0
85;21460;935;0.08681;28805;1;5;1
86;16449;544;0.05031;28805;1;5;2
87;18941;1262;0.05775;28968;1;6;0
88;21490;734;0.06822;28968;1;6;1
89;16388;528;0.0476;28968;1;6;2
90;20345;947;0.05433;23156;1;7;0
91;23644;575;0.06564;23156;1;7;1
92;17106;372;0.04291;23156;1;7;2
93;19141;1593;0.05646;38304;1;8;0
94;21776;970;0.06953;38304;1;8;1
95;16336;623;0.04368;38304;1;8;2
96;16792;9145;0.08383;156349;1;9;0
97;18586;5658;0.10376;156349;1;9;1
98;14669;3487;0.06391;156349;1;9;2
99;16838;4481;0.07831;80485;1;10;0
100;18937;2590;0.09135;80485;1;10;1
101;14403;1891;0.0655;80485;1;10;2
102;16999;4659;0.08288;80270;1;11;0
103;18834;2801;0.10087;80270;1;11;1
104;14895;1858;0.06531;80270;1;11;2
105;24149;1367;0.04174;50797;1;12;0
106;29800;762;0.04984;50797;1;12;1
107;18220;604;0.03458;50797;1;12;2
108;19613;3506;0.06293;80185;1;13;0
109;22460;2103;0.07762;80185;1;13;1
110;16534;1403;0.04902;80185;1;13;2
111;14998;4079;0.08283;67976;1;14;0
112;16321;2589;0.10237;67976;1;14;1
113;13415;1490;0.06221;67976;1;14;2
114;16434;5451;0.0863;89153;1;15;0
115;17991;3447;0.10896;89153;1;15;1
116;14593;2004;0.06356;89153;1;15;2
117;17713;2753;0.078;49428;1;16;0
118;19906;1701;0.09668;49428;1;16;1
119;15215;1052;0.05943;49428;1;16;2
120;20614;1898;0.06007;45872;1;17;0
121;24511;1091;0.07239;45872;1;17;1
122;16593;807;0.04882;45872;1;17;2
123;22458;2446;0.05629;66017;1;18;0
124;27421;1403;0.0689;66017;1;18;1
125;17292;1043;0.04517;66017;1;18;2
126;15705;4967;0.08895;78792;1;19;0
127;17018;3149;0.11038;78792;1;19;1
128;14096;1818;0.06656;78792;1;19;2
129;18071;6753;0.07342;131892;1;20;0
130;20582;3931;0.08808;131892;1;20;1
131;15264;2823;0.05963;131892;1;20;2
132;19091;5917;0.05946;140404;1;21;0
133;22105;3255;0.06788;140404;1;21;1
134;15075;2662;0.05163;140404;1;21;2
135;20869;3236;0.05357;86486;1;22;0
136;24792;1878;0.06519;86486;1;22;1
137;16651;1358;0.04298;86486;1;22;2
138;26854;443;0.03659;17384;2;0;0
139;33770;245;0.04083;17384;2;0;1
140;19483;198;0.03242;17384;2;0;2
141;16640;4782;0.07507;90837;2;1;0
142;18263;2929;0.09058;90837;2;1;1
143;14746;1853;0.05909;90837;2;1;2
144;19290;4329;0.0729;83019;2;2;0
145;21964;2639;0.08972;83019;2;2;1
146;16466;1690;0.0564;83019;2;2;2
147;21126;1103;0.05264;29394;2;3;0
148;24824;663;0.0646;29394;2;3;1
149;17320;440;0.04116;29394;2;3;2
150;16484;2960;0.07919;51098;2;4;0
151;18108;1808;0.09578;51098;2;4;1
152;14712;1153;0.06232;51098;2;4;2
153;19132;1501;0.06917;28891;2;5;0
154;21560;957;0.08835;28891;2;5;1
155;16530;544;0.05005;28891;2;5;2
156;19046;1223;0.05596;29012;2;6;0
157;21447;722;0.06712;29012;2;6;1
158;16665;501;0.04514;29012;2;6;2
159;20645;874;0.0496;23309;2;7;0
160;23832;532;0.06024;23309;2;7;1
161;17516;342;0.03891;23309;2;7;2
162;19534;1675;0.05811;38865;2;8;0
163;22627;1009;0.07041;38865;2;8;1
164;16460;666;0.04594;38865;2;8;2
165;16765;9871;0.08869;159105;2;9;0
166;18542;6056;0.10915;159105;2;9;1
167;14680;3815;0.06835;159105;2;9;2
168;16930;4616;0.08023;81369;2;10;0
169;18901;2683;0.09413;81369;2;10;1
170;14658;1934;0.06662;81369;2;10;2
171;17126;5027;0.08781;82178;2;11;0
172;19039;3010;0.10638;82178;2;11;1
173;14974;2017;0.06967;82178;2;11;2
174;24701;1490;0.04541;50896;2;12;0
175;30745;830;0.05424;50896;2;12;1
176;18641;660;0.0377;50896;2;12;2
177;19809;3763;0.06697;80505;2;13;0
178;22804;2230;0.0817;80505;2;13;1
179;16637;1533;0.05305;80505;2;13;2
180;15025;4442;0.08926;68760;2;14;0
181;16252;2798;0.10985;68760;2;14;1
182;13560;1643;0.06763;68760;2;14;2
183;16576;5567;0.08674;89822;2;15;0
184;18087;3549;0.11035;89822;2;15;1
185;14835;2018;0.06302;89822;2;15;2
186;17768;2869;0.07933;50278;2;16;0
187;19940;1790;0.09919;50278;2;16;1
188;15329;1080;0.0596;50278;2;16;2
189;20915;1968;0.06168;46309;2;17;0
190;25061;1163;0.0762;46309;2;17;1
191;16671;805;0.04836;46309;2;17;2
192;22875;2502;0.05744;66437;2;18;0
193;28208;1419;0.06974;66437;2;18;1
194;17401;1083;0.04667;66437;2;18;2
195;15783;4633;0.08197;79441;2;19;0
196;17145;2928;0.10185;79441;2;19;1
197;14128;1706;0.06143;79441;2;19;2
198;18158;6977;0.07529;133801;2;20;0
199;20700;4078;0.09054;133801;2;20;1
200;15356;2900;0.0609;133801;2;20;2
201;19355;6044;0.06002;142620;2;21;0
202;22477;3315;0.06836;142620;2;21;1
203;15953;2730;0.0523;142620;2;21;2
204;20923;3360;0.05556;87080;2;22;0
205;24809;1929;0.06698;87080;2;22;1
206;16814;1430;0.04514;87080;2;22;2
207;28638;423;0.03513;17294;3;0;0
208;35904;238;0.03964;17294;3;0;1
209;21011;184;0.03047;17294;3;0;2
210;17074;4812;0.07536;91364;3;1;0
211;18703;2944;0.09066;91364;3;1;1
212;15179;1868;0.05952;91364;3;1;2
213;19799;4402;0.07376;83827;3;2;0
214;22520;2619;0.0885;83827;3;2;1
215;16910;1783;0.05927;83827;3;2;2
216;21767;1037;0.04894;29573;3;3;0
217;25133;621;0.05958;29573;3;3;1
218;18307;416;0.03864;29573;3;3;2
219;16873;2849;0.07488;51882;3;4;0
220;18436;1751;0.09092;51882;3;4;1
221;15143;1098;0.05843;51882;3;4;2
222;19714;1473;0.06716;29012;3;5;0
223;22184;949;0.08654;29012;3;5;1
224;17087;525;0.04787;29012;3;5;2
225;19778;1160;0.05179;29161;3;6;0
226;22475;686;0.06167;29161;3;6;1
227;17133;474;0.04204;29161;3;6;2
228;21842;775;0.04399;23588;3;7;0
229;25497;453;0.05151;23588;3;7;1
230;18304;322;0.0365;23588;3;7;2
231;20203;1592;0.05509;39472;3;8;0
232;23577;960;0.0669;39472;3;8;1
233;16877;632;0.04343;39472;3;8;2
234;17074;10012;0.08807;163695;3;9;0
235;18812;6059;0.10667;163695;3;9;1
236;15034;3953;0.06951;163695;3;9;2
237;17367;4692;0.08146;82429;3;10;0
238;19343;2697;0.09447;82429;3;10;1
239;15075;1996;0.06871;82429;3;10;2
240;17357;5012;0.08656;83372;3;11;0
241;19145;2994;0.10442;83372;3;11;1
242;15331;2019;0.06908;83372;3;11;2
243;25382;1466;0.04503;51316;3;12;0
244;31628;815;0.05361;51316;3;12;1
245;19132;652;0.03756;51316;3;12;2
246;20234;3719;0.06561;81785;3;13;0
247;23196;2196;0.07997;81785;3;13;1
248;17118;1522;0.05208;81785;3;13;2
249;15376;4579;0.09071;69467;3;14;0
250;16622;2857;0.11069;69467;3;14;1
251;13891;1721;0.06977;69467;3;14;2
252;17030;5581;0.08509;91997;3;15;0
253;18523;3513;0.10656;91997;3;15;1
254;15302;2068;0.06338;91997;3;15;2
255;18260;2894;0.07866;51316;3;16;0
256;20538;1816;0.09827;51316;3;16;1
257;15729;1077;0.05881;51316;3;16;2
258;21630;1939;0.06035;46921;3;17;0
259;25617;1125;0.07322;46921;3;17;1
260;17546;814;0.04856;46921;3;17;2
261;23232;2394;0.055;66900;3;18;0
