Durchschnittlicher Jahresnettobezug nach Geschlecht (in Euro pro ArbeitnehmerIn) seit 2002 - Bezirke Wien | Average annual net remuneration by sex (in Euro per employee) since 2002 - districts of Vienna;;;;;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;INC_TOT_VALUE;INC_MAL_VALUE;INC_FEM_VALUE;;;;;;;;;;;;;
AT13;90000;90000;2002;20021231;18.217;20.709;15.424;;;;;;;;;;;;;
AT13;90100;90100;2002;20021231;25.463;31.961;18.536;;;;;;;;;;;;;
AT13;90200;90200;2002;20021231;16.439;18.301;14.282;;;;;;;;;;;;;
AT13;90300;90300;2002;20021231;18.701;21.444;15.804;;;;;;;;;;;;;
AT13;90400;90400;2002;20021231;20.325;23.641;16.876;;;;;;;;;;;;;
AT13;90500;90500;2002;20021231;16.258;17.937;14.395;;;;;;;;;;;;;
AT13;90600;90600;2002;20021231;18.724;21.260;16.069;;;;;;;;;;;;;
AT13;90700;90700;2002;20021231;18.429;21.129;15.725;;;;;;;;;;;;;
AT13;90800;90800;2002;20021231;20.108;23.342;16.931;;;;;;;;;;;;;
AT13;90900;90900;2002;20021231;19.106;22.183;16.031;;;;;;;;;;;;;
AT13;91000;91000;2002;20021231;16.707;18.657;14.478;;;;;;;;;;;;;
AT13;91100;91100;2002;20021231;16.742;18.883;14.296;;;;;;;;;;;;;
AT13;91200;91200;2002;20021231;16.950;18.884;14.794;;;;;;;;;;;;;
AT13;91300;91300;2002;20021231;23.914;29.951;17.877;;;;;;;;;;;;;
AT13;91400;91400;2002;20021231;19.511;22.571;16.300;;;;;;;;;;;;;
AT13;91500;91500;2002;20021231;14.999;16.355;13.439;;;;;;;;;;;;;
AT13;91600;91600;2002;20021231;16.330;18.004;14.465;;;;;;;;;;;;;
AT13;91700;91700;2002;20021231;17.604;20.022;14.960;;;;;;;;;;;;;
AT13;91800;91800;2002;20021231;20.413;24.325;16.466;;;;;;;;;;;;;
AT13;91900;91900;2002;20021231;22.469;27.605;17.113;;;;;;;;;;;;;
AT13;92000;92000;2002;20021231;15.696;17.143;13.986;;;;;;;;;;;;;
AT13;92100;92100;2002;20021231;17.977;20.611;15.081;;;;;;;;;;;;;
AT13;92200;92200;2002;20021231;18.915;22.016;15.577;;;;;;;;;;;;;
AT13;92300;92300;2002;20021231;20.799;24.849;16.511;;;;;;;;;;;;;
AT13;90000;90000;2003;20031231;18.337;20.845;15.526;;;;;;;;;;;;;
AT13;90100;90100;2003;20031231;26.571;33.764;18.907;;;;;;;;;;;;;
AT13;90200;90200;2003;20031231;16.549;18.296;14.478;;;;;;;;;;;;;
AT13;90300;90300;2003;20031231;18.940;21.523;16.150;;;;;;;;;;;;;
AT13;90400;90400;2003;20031231;20.730;24.031;17.256;;;;;;;;;;;;;
AT13;90500;90500;2003;20031231;16.402;17.976;14.633;;;;;;;;;;;;;
AT13;90600;90600;2003;20031231;19.059;21.460;16.449;;;;;;;;;;;;;
AT13;90700;90700;2003;20031231;18.941;21.490;16.388;;;;;;;;;;;;;
AT13;90800;90800;2003;20031231;20.345;23.644;17.106;;;;;;;;;;;;;
AT13;90900;90900;2003;20031231;19.141;21.776;16.336;;;;;;;;;;;;;
AT13;91000;91000;2003;20031231;16.792;18.586;14.669;;;;;;;;;;;;;
AT13;91100;91100;2003;20031231;16.838;18.937;14.403;;;;;;;;;;;;;
AT13;91200;91200;2003;20031231;16.999;18.834;14.895;;;;;;;;;;;;;
AT13;91300;91300;2003;20031231;24.149;29.800;18.220;;;;;;;;;;;;;
AT13;91400;91400;2003;20031231;19.613;22.460;16.534;;;;;;;;;;;;;
AT13;91500;91500;2003;20031231;14.998;16.321;13.415;;;;;;;;;;;;;
AT13;91600;91600;2003;20031231;16.434;17.991;14.593;;;;;;;;;;;;;
AT13;91700;91700;2003;20031231;17.713;19.906;15.215;;;;;;;;;;;;;
AT13;91800;91800;2003;20031231;20.614;24.511;16.593;;;;;;;;;;;;;
AT13;91900;91900;2003;20031231;22.458;27.421;17.292;;;;;;;;;;;;;
AT13;92000;92000;2003;20031231;15.705;17.018;14.096;;;;;;;;;;;;;
AT13;92100;92100;2003;20031231;18.071;20.582;15.264;;;;;;;;;;;;;
AT13;92200;92200;2003;20031231;19.091;22.105;15.075;;;;;;;;;;;;;
AT13;92300;92300;2003;20031231;20.869;24.792;16.651;;;;;;;;;;;;;
AT13;90000;90000;2004;20041231;18.489;21.033;15.684;;;;;;;;;;;;;
AT13;90100;90100;2004;20041231;26.854;33.770;19.483;;;;;;;;;;;;;
AT13;90200;90200;2004;20041231;16.640;18.263;14.746;;;;;;;;;;;;;
AT13;90300;90300;2004;20041231;19.290;21.964;16.466;;;;;;;;;;;;;
AT13;90400;90400;2004;20041231;21.126;24.824;17.320;;;;;;;;;;;;;
AT13;90500;90500;2004;20041231;16.484;18.108;14.712;;;;;;;;;;;;;
AT13;90600;90600;2004;20041231;19.132;21.560;16.530;;;;;;;;;;;;;
AT13;90700;90700;2004;20041231;19.046;21.447;16.665;;;;;;;;;;;;;
AT13;90800;90800;2004;20041231;20.645;23.832;17.516;;;;;;;;;;;;;
AT13;90900;90900;2004;20041231;19.534;22.627;16.460;;;;;;;;;;;;;
AT13;91000;91000;2004;20041231;16.765;18.542;14.680;;;;;;;;;;;;;
AT13;91100;91100;2004;20041231;16.930;18.901;14.658;;;;;;;;;;;;;
AT13;91200;91200;2004;20041231;17.126;19.039;14.974;;;;;;;;;;;;;
AT13;91300;91300;2004;20041231;24.701;30.745;18.641;;;;;;;;;;;;;
AT13;91400;91400;2004;20041231;19.809;22.804;16.637;;;;;;;;;;;;;
AT13;91500;91500;2004;20041231;15.025;16.252;13.560;;;;;;;;;;;;;
AT13;91600;91600;2004;20041231;16.576;18.087;14.835;;;;;;;;;;;;;
AT13;91700;91700;2004;20041231;17.768;19.940;15.329;;;;;;;;;;;;;
AT13;91800;91800;2004;20041231;20.915;25.061;16.671;;;;;;;;;;;;;
AT13;91900;91900;2004;20041231;22.875;28.208;17.401;;;;;;;;;;;;;
AT13;92000;92000;2004;20041231;15.783;17.145;14.128;;;;;;;;;;;;;
AT13;92100;92100;2004;20041231;18.158;20.700;15.356;;;;;;;;;;;;;
AT13;92200;92200;2004;20041231;19.355;22.477;15.953;;;;;;;;;;;;;
