Bevölkerung im Alter 25-64 Jahre nach höchster abgeschlossener Schulbildung (in Prozent) seit 2008 - Bezirke Wien | Population aged 25-64 by highest completed educational attainment (in percent) since 2008 - districts of Vienna;;;;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;EDU_ALL;EDU_LEH;EDU_BMS;EDU_AHS;EDU_BHS;EDU_KOL;EDU_ACA;EDU_UNI;EDU_AKA;;;;;;
AT13;90000;90000;2008;20081031;22,05;26,58;11,84;9,96;8,30;1,02;2,42;17,84;20,26;;;;;;
AT13;90100;90100;2008;20081031;11,68;13,02;8,88;16,10;7,45;1,33;2,46;39,08;41,53;;;;;;
AT13;90200;90200;2008;20081031;24,89;24,56;9,79;10,41;7,74;0,91;2,50;19,21;21,71;;;;;;
AT13;90300;90300;2008;20081031;19,95;20,73;10,15;12,17;8,41;1,23;2,75;24,61;27,36;;;;;;
AT13;90400;90400;2008;20081031;14,16;15,23;8,83;14,62;8,70;1,27;2,97;34,22;37,19;;;;;;
AT13;90500;90500;2008;20081031;24,95;21,92;9,31;11,19;8,20;1,15;2,34;20,93;23,27;;;;;;
AT13;90600;90600;2008;20081031;15,12;17,11;9,36;14,18;9,42;1,49;2,72;30,60;33,33;;;;;;
AT13;90700;90700;2008;20081031;14,39;15,06;8,89;14,64;8,97;1,46;2,96;33,63;36,59;;;;;;
AT13;90800;90800;2008;20081031;11,87;13,23;8,23;15,28;8,79;1,35;3,21;38,04;41,25;;;;;;
AT13;90900;90900;2008;20081031;14,60;15,43;8,63;14,61;8,72;1,25;3,14;33,63;36,77;;;;;;
AT13;91000;91000;2008;20081031;29,28;32,59;12,33;7,11;7,42;0,76;1,64;8,87;10,51;;;;;;
AT13;91100;91100;2008;20081031;26,32;35,66;13,46;6,84;7,70;0,75;1,58;7,71;9,29;;;;;;
AT13;91200;91200;2008;20081031;27,05;27,84;11,92;8,68;8,00;0,82;2,06;13,62;15,68;;;;;;
AT13;91300;91300;2008;20081031;11,29;18,12;12,50;12,95;9,22;1,48;3,65;30,80;34,44;;;;;;
AT13;91400;91400;2008;20081031;19,65;25,86;13,28;10,16;8,98;1,15;2,88;18,05;20,93;;;;;;
AT13;91500;91500;2008;20081031;30,60;25,52;10,20;9,13;7,25;0,81;2,13;14,36;16,49;;;;;;
AT13;91600;91600;2008;20081031;28,17;26,22;11,03;9,17;7,55;0,87;2,39;14,59;16,99;;;;;;
AT13;91700;91700;2008;20081031;24,07;22,96;10,68;10,56;7,82;1,08;2,76;20,07;22,83;;;;;;
AT13;91800;91800;2008;20081031;15,33;16,65;9,40;13,06;8,08;1,19;3,28;33,02;36,29;;;;;;
AT13;91900;91900;2008;20081031;14,44;19,85;10,66;13,44;8,39;1,29;2,91;29,03;31,94;;;;;;
AT13;92000;92000;2008;20081031;29,93;27,90;10,74;8,55;7,24;0,79;1,87;12,98;14,85;;;;;;
AT13;92100;92100;2008;20081031;21,70;35,42;14,19;7,59;8,31;0,83;2,23;9,73;11,96;;;;;;
AT13;92200;92200;2008;20081031;17,49;34,50;15,71;8,37;9,46;1,02;2,34;11,11;13,45;;;;;;
