Bevölkerungsdichte (EinwohnerInnen pro km²) zu Jahresbeginn seit 2002 - Bezirke Wien | Population density (resident per km²) at the beginning of the year since 2002 - districts of Vienna;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;POP_VALUE;AREA;POP_DENSITY;;;;;;;;;
AT13;90000;90000;2002;20020101;1.571.123;414,87;3787,02;;;;;;;;;
AT13;90000;90000;2003;20030101;1.592.846;414,87;3839,38;;;;;;;;;
AT13;90000;90000;2004;20040101;1.610.410;414,87;3881,71;;;;;;;;;
AT13;90000;90000;2005;20050101;1.632.569;414,87;3935,12;;;;;;;;;
AT13;90000;90000;2006;20060101;1.652.449;414,87;3983,04;;;;;;;;;
AT13;90000;90000;2007;20070101;1.661.246;414,87;4004,25;;;;;;;;;
AT13;90000;90000;2008;20080101;1.671.221;414,87;4028,29;;;;;;;;;
AT13;90000;90000;2009;20090101;1.680.135;414,87;4049,78;;;;;;;;;
AT13;90000;90000;2010;20100101;1.689.995;414,87;4073,54;;;;;;;;;
AT13;90000;90000;2011;20110101;1.702.855;414,87;4104,54;;;;;;;;;
AT13;90000;90000;2012;20120101;1.717.084;414,87;4138,84;;;;;;;;;
AT13;90000;90000;2013;20130101;1.741.246;414,87;4197,08;;;;;;;;;
AT13;90000;90000;2014;20140101;1.766.746;414,87;4258,54;;;;;;;;;
AT13;90000;90000;2015;20150101;1.797.337;414,87;4332,28;;;;;;;;;
AT13;90000;90000;2016;20160101;1.840.226;414,87;4435,66;;;;;;;;;
AT13;90000;90000;2017;20170101;1.867.582;414,87;4501,60;;;;;;;;;
AT13;90000;90000;2018;20180101;1.888.776;414,87;4552,68;;;;;;;;;
AT13;90000;90000;2019;20190101;1.897.491;414,87;4573,69;;;;;;;;;
AT13;90000;90000;2020;20200101;1.911.191;414,87;4606,71;;;;;;;;;
AT13;90000;90000;2021;20210101;1.920.949;414,87;4630,23;;;;;;;;;
AT13;90000;90000;2022;20220101;1.931.593;414,87;4655,89;;;;;;;;;
AT13;90000;90000;2023;20230101;1.982.097;414,87;4777,62;;;;;;;;;
AT13;90000;90000;2024;20240101;2.005.760;414,87;4834,66;;;;;;;;;
AT13;90000;90000;2025;20250101;2.028.289;414,87;4888,96;;;;;;;;;
AT13;90100;90100;2002;20020101;17.630;2,87;6145,48;;;;;;;;;
AT13;90100;90100;2003;20030101;17.541;2,87;6114,46;;;;;;;;;
AT13;90100;90100;2004;20040101;17.384;2,87;6059,73;;;;;;;;;
AT13;90100;90100;2005;20050101;17.294;2,87;6028,36;;;;;;;;;
AT13;90100;90100;2006;20060101;17.285;2,87;6025,22;;;;;;;;;
AT13;90100;90100;2007;20070101;17.147;2,87;5977,12;;;;;;;;;
AT13;90100;90100;2008;20080101;16.976;2,87;5917,51;;;;;;;;;
AT13;90100;90100;2009;20090101;16.623;2,87;5794,46;;;;;;;;;
AT13;90100;90100;2010;20100101;16.525;2,87;5760,30;;;;;;;;;
AT13;90100;90100;2011;20110101;16.385;2,87;5711,50;;;;;;;;;
AT13;90100;90100;2012;20120101;16.290;2,87;5678,38;;;;;;;;;
AT13;90100;90100;2013;20130101;16.268;2,87;5670,72;;;;;;;;;
AT13;90100;90100;2014;20140101;16.131;2,87;5622,96;;;;;;;;;
AT13;90100;90100;2015;20150101;16.339;2,87;5695,46;;;;;;;;;
AT13;90100;90100;2016;20160101;16.411;2,87;5720,56;;;;;;;;;
AT13;90100;90100;2017;20170101;16.465;2,87;5739,39;;;;;;;;;
AT13;90100;90100;2018;20180101;16.450;2,87;5734,16;;;;;;;;;
AT13;90100;90100;2019;20190101;16.306;2,87;5683,96;;;;;;;;;
AT13;90100;90100;2020;20200101;16.047;2,87;5593,68;;;;;;;;;
AT13;90100;90100;2021;20210101;15.867;2,87;5530,93;;;;;;;;;
AT13;90100;90100;2022;20220101;15.700;2,87;5472,72;;;;;;;;;
AT13;90100;90100;2023;20230101;16.620;2,87;5793,42;;;;;;;;;
AT13;90100;90100;2024;20240101;16.538;2,87;5764,83;;;;;;;;;
AT13;90100;90100;2025;20250101;16.281;2,87;5675,25;;;;;;;;;
AT13;90200;90200;2002;20020101;89.016;19,24;4626,13;;;;;;;;;
AT13;90200;90200;2003;20030101;89.954;19,24;4674,88;;;;;;;;;
AT13;90200;90200;2004;20040101;90.837;19,24;4720,77;;;;;;;;;
AT13;90200;90200;2005;20050101;91.364;19,24;4748,16;;;;;;;;;
AT13;90200;90200;2006;20060101;92.170;19,24;4790,04;;;;;;;;;
AT13;90200;90200;2007;20070101;93.313;19,24;4849,44;;;;;;;;;
AT13;90200;90200;2008;20080101;93.463;19,24;4857,24;;;;;;;;;
AT13;90200;90200;2009;20090101;93.822;19,24;4875,90;;;;;;;;;
AT13;90200;90200;2010;20100101;94.735;19,24;4923,35;;;;;;;;;
AT13;90200;90200;2011;20110101;95.302;19,24;4952,81;;;;;;;;;
AT13;90200;90200;2012;20120101;96.582;19,24;5019,33;;;;;;;;;
AT13;90200;90200;2013;20130101;96.866;19,24;5034,09;;;;;;;;;
AT13;90200;90200;2014;20140101;99.597;19,24;5176,02;;;;;;;;;
AT13;90200;90200;2015;20150101;101.702;19,24;5285,42;;;;;;;;;
AT13;90200;90200;2016;20160101;103.225;19,24;5364,57;;;;;;;;;
AT13;90200;90200;2017;20170101;105.003;19,24;5456,97;;;;;;;;;
AT13;90200;90200;2018;20180101;105.574;19,24;5486,64;;;;;;;;;
AT13;90200;90200;2019;20190101;104.946;19,24;5454,01;;;;;;;;;
AT13;90200;90200;2020;20200101;105.848;19,24;5500,88;;;;;;;;;
AT13;90200;90200;2021;20210101;105.237;19,24;5469,13;;;;;;;;;
AT13;90200;90200;2022;20220101;104.688;19,24;5440,60;;;;;;;;;
AT13;90200;90200;2023;20230101;108.269;19,24;5626,70;;;;;;;;;
AT13;90200;90200;2024;20240101;110.100;19,24;5721,86;;;;;;;;;
AT13;90200;90200;2025;20250101;112.675;19,24;5855,68;;;;;;;;;
AT13;90300;90300;2002;20020101;82.227;7,40;11115,15;;;;;;;;;
AT13;90300;90300;2003;20030101;82.297;7,40;11124,61;;;;;;;;;
AT13;90300;90300;2004;20040101;83.019;7,40;11222,21;;;;;;;;;
AT13;90300;90300;2005;20050101;83.827;7,40;11331,43;;;;;;;;;
AT13;90300;90300;2006;20060101;84.208;7,40;11382,93;;;;;;;;;
AT13;90300;90300;2007;20070101;83.919;7,40;11343,87;;;;;;;;;
AT13;90300;90300;2008;20080101;83.050;7,40;11226,40;;;;;;;;;
AT13;90300;90300;2009;20090101;82.979;7,40;11216,80;;;;;;;;;
